codigo,especialidad
IBU,TECNICO SUPERIOR EN GESTION FISCAL Y TRIBUTARIA
IGM,TECNICO SUPERIOR EN IMAGENOLOGIA
ALZ,TECNICO SUPERIOR EN INSTALACIONES ELECTRICAS
DIF,TECNICO SUPERIOR EN MANEJO DE EMERGENCIAS Y ACCION CONTRA DESASTRES
QUI,TECNICO SUPERIOR EN MANTENIMIENTO DE EDIFICACIONES
IUP,TECNICO SUPERIOR EN MANTENIMIENTO DE EQUIPOS MECANICOS
ZIR,TECNICO SUPERIOR EN MECANICA AUTOMOTRIZ O TECNOLOGIA AUTOMOTRIZ
IED,TECNICO SUPERIOR EN MERCADOTECNIA
EES,TECNICO SUPERIOR EN PREESCOLAR
EHA,TECNICO SUPERIOR EN REHABILITACION: TERAPIA OCUPACIONAL
USL,TECNICO SUPERIOR EN SISTEMAS INDUSTRIALES
UGR,TECNICO SUPERIOR EN TECNOLOGIA DE SEGURIDAD INDUSTRIAL
ORD,TECNICO SUPERIOR EN TECNOLOGIA DE PRODUCCION AGROALIMENTARIA
RRR,TECNICO SUPERIOR EN TECNOLOGIA ELECTRONICA
SSS,TECNICO SUPERIOR EN TECNOLOGIA SUPERIOR FORESTAL
FFF,TECNICO SUPERIOR EN TECNOLOGIA AGROFORESTAL
GGG,TECNICO SUPERIOR EN TECNOLOGIA AGROPECUARIA
PPP,TECNICO SUPERIOR EN TECNOLOGIA DE ADMINISTRACION DE OBRAS
NNN,TECNICO SUPERIOR EN TECNOLOGIA DE ADMINISTRACION. DE FINCAS
TTT,TECNICO SUPERIOR EN TECNOLOGIA DE PRODUCCION AGROALIMENTARIA
CCC,TECNICO SUPERIOR EN TECNOLOGIA MECANICA
SEE,TECNICO SUPERIOR EN TECNOLOGIA NAVAL MENCION NAVEGACION Y PESCA
VVV,TECNICO SUPERIOR  TECNOLOGIA NAVAL
ZZZ,TECNOLOGO EN ADMINISTRACION INDUSTRIAL
UUU,TECNOLOGO EN COMPUTACION
III,TECNOLOGO EN CONSTRUCCION CIVIL
LLL,TECNOLOGO EN ESTADISTICA
YYY,TECNOLOGO EN FABRIC.MECANICA
GRY,TECNOLOGO EN INDUSTRIA FORESTAL
JND,TECNOLOGO EN PROCESOS INDUSTRIALES
ESD,TECNOLOGO EN SISTEMAS INDUSTRIALES
OMY,TECNICO SUPERIOR INFORMATICA
ETR,TECNICO SUPERIOR RELACIONES PUBLICAS
JAN,TRABAJANDO
ACA,AMA DE CASA
ABA,ABASTECEDOR(A)
ABO,ABOGADO(A)
ADD,ADMINISTRACION DE DESASTRES
ADM,ADMINISTRADOR(A)
ADU,ADUANERO
AGD,AGENCIA DIGITEL
AGT,AGENTE
AGS,AGENTE DE SEGUROS
AGR,AGRICULTOR(A)
ALB,ALBAÑIL
ALR,ALBERGUES
ALG,ALGUACIL
ALM,ALMACENISTA
ANA,ANALISTA
ANC,ANALISTA DE COBRANZAS
ANE,ANALISTA DE ECONOMIA COMUNAL
ANI,ANALISTA DE INVENTARIO
ANP,ANALISTA DE PERSONAL
ANL,ANALISTA DE PLANIFICACION
ARH,ANALISTA DE RECURSOS HUMANOS
ANS,ANALISTA DE SEGUROS
ASI,ANALISTA DE SISTEMAS
APR,ANALISTA PROCESADOR DE DATOS
ANF,ANFITRION(A)
API,APICULTOR
APR,APRENDIZ
ARB,ARBITRO DE DEPORTE
ARC,ARCHIVISTA
ARM,ARMADOR(A)
ARQ,ARQUITECTO
ART,ARTESANO(A)
ASA,ASAFATA
ASC,ASCENSORISTA
ASE,ASEADOR(A)
ASS,ASESOR(A)
ASC,ASESOR CAJERO
ASV,ASESOR DE VENTAS
ASJ,ASESOR JURIDICO
ASI,ASISTENTE
ASD,ASISTENTE ADMINISTRATIVO
ASC,ASISTENTE CATASTRAL
AAL,ASISTENTE DE ALMACEN
ADE,ASISTENTE DE DEFENSORIA
AGE,ASISTENTE DE GERENCIA
ALA,ASISTENTE DE LABORATORIO
AOF,ASISTENTE DE OFICINA
ARH,ASISTENTE DE RECURSOS HUMANOS
ASE,ASISTENTE DE SEGURIDAD
AVE,ASISTENTE DE VESTUARIO
AEC,ASISTENTE ECENOGRAFIA
AIN,ASISTENTE INFORMATICA
AME,ASISTENTE MEDICO
ADE,ASISTENTE DENTAL
ACL,ATENCION AL CLIENTE
ARE,ATLETA ALTO RENDIMIENTO
AUD,AUDITOR(A)
AUT,AUTOMERCADO
AUX,AUXILIAR
AAD,AUXILIAR ADMINISTRATIVO
ACB,AUXILIAR CONTABILIDAD
ACO,AUXILIAR DE COCINA
ANS,AUXILIAR DE CONSTRUCCION
AEN,AUXILIAR DE ENFERMERA
AFA,AUXILIAR DE FARMACIA
AFI,AUXILIAR DE FINANZAS
ALB,AUXILIAR DE LABORATORIO
ALI,AUXILIAR DE LIMPIEZA
AMA,AUXILIAR DE MANTENIMIENTO
AFI,AUXILIAR DE OFICINA
APR,AUXILIAR DE PREESCOLAR
ASG,AUXILIAR DE SERVICIOS GENERALES
ADT,AXULIAR DE TIENDA
AYU,AYUDANTE
AYA,AYUDANTE DE ALBAÑIL
AYC,AYUDANTE DE ALMACEN
AYO,AYUDANTE DE COCINA
AYN,AYUDANTE DE CONSTRUCCION
AOS,AYUDANTE DE COSTURA
AEL,AYUDANTE DE ELECTRICIDAD
AFB,AYUDANTE DE FABRICA
ACR,AYUDANTE DE FARMACIA
AHE,AYUDANTE DE HERRERIA
AMC,AYUDANTE DE MECANICA
BAR,BARBERO
BAT,BARTMAN
BIB,BIBLIOTECARIO
BIO,BIOANALISTA
BOM,BOMBERO
BRI,BRIGADISTA
CAB,CABILLERO
CAD,CADDY
CAJ,CAJERO
CAL,CALETERO
MES,MESONERO(A)
CAM,CAMAROGRAFO
CAI,CAMILLERO
CAN,CANTANTE
CAR,CARNICERO
CAP,CARPINTERO
CAT,CARTERO
CAU,CAUCHERO
CHA,CHARCUTERO
CHT,CHATARRERO
CHE,CHEF
CHO,CHOFER
CIT,CITOTECNOLOGO
COC,COCINERO
COM,COMERCIANTE
COU,COMUNICADOR SOCIAL
CDU,CONDUCTOR
CSU,CONSULTOR
CJU,CONSULTORA JURIDICA
CTA,CONTADOR(A)
CTR,CONTROLADOR DE TRAFICO AEREO
COO,COORDINADOR
COP,COORDINADOR DE PERSONAL
CPE,COPERATIVISTA
CTR,COSTURERO
DEC,DECORADOR
DEP,DEPORTISTA
